,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,Glencoe,-28.1783,30.147,71.08,71,98,5.53,ZA,1612118390
147,Codajás,-3.8367,-62.0569,88.7,61,21,4.9,BR,1612118391
148,Padang,-0.9492,100.3543,77.36,76,97,4.94,ID,1612118403
149,Nísia Floresta,-6.0911,-35.2086,86.0,62,20,19.57,BR,1612118404
150,Bom Jesus,-9.0744,-44.3586,93.09,36,95,6.24,BR,1612118405
151,Ankazobe,-18.3167,47.1167,68.0,88,40,9.22,MG,1612118405
152,Morondava,-20.2833,44.2833,83.55,70,96,5.59,MG,1612118406
153,Touros,-5.1989,-35.4608,86.0,54,20,16.11,BR,1612118407
154,Vila Velha,-20.3297,-40.2925,89.01,62,20,20.71,BR,1612118431
155,Belmonte,-15.8631,-38.8828,86.0,70,40,6.91,BR,1612118431
156,Andapa,-14.65,49.65,69.91,91,23,1.1,MG,1612118432
157,Dzaoudzi,-12.7887,45.2699,82.4,74,0,4.61,YT,1612118432
158,Katherine,-14.4667,132.2667,77.0,88,100,5.75,AU,1612118432
159,São José da Coroa Grande,-8.8978,-35.1478,81.48,70,19,11.18,BR,1612118433
160,Fare,-16.7,-151.0167,81.03,74,94,10.83,PF,1612118434
161,Antsohihy,-14.8796,47.9875,77.04,91,88,1.12,MG,1612118434
162,São Gabriel da Cachoeira,-0.1303,-67.0892,85.32,75,100,1.19,BR,1612118434
163,Río Gallegos,-51.6226,-69.2181,75.2,17,0,21.85,AR,1612118435
164,Nelson Bay,-32.7167,152.15,70.0,100,90,6.91,AU,1612118436
165,Itarema,-2.9248,-39.9167,85.08,66,0,16.82,BR,1612118437
