City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Melo,-32.3667,-54.1833,296.86,83,100,8.14,UY,1612117575
202,Itarantim,-15.6597,-40.0656,301.04,64,57,5.56,BR,1612117575
203,Ambilobe,-13.2,49.05,297.59,91,84,0.45,MG,1612117575
204,Santa Maria,-29.6842,-53.8069,298.15,83,75,2.57,BR,1612117575
205,La Libertad,-2.2333,-80.9,303.15,66,0,3.09,EC,1612117575
206,Mil'kovo,54.7167,158.6167,259.57,94,100,2.37,RU,1612117576
207,Dicabisagan,17.0818,122.4157,295.17,82,97,3.74,PH,1612117280
208,Varel,53.3969,8.1362,270.37,93,100,1.54,DE,1612117577
209,Coyhaique,-45.5752,-72.0662,298.15,29,20,3.09,CL,1612117402
210,Tilichiki,60.4667,166.1,249.99,91,100,8.61,RU,1612117577
211,Mareeba,-17.0,145.4333,298.15,83,96,2.57,AU,1612117577
212,Bhatkal,13.9667,74.5667,298.49,63,1,2.11,IN,1612117577
213,Kiryat Gat,31.61,34.7642,288.15,100,0,1.34,IL,1612117335
214,São Raimundo Nonato,-9.0153,-42.6994,305.89,38,88,2.97,BR,1612117579
215,Eilat,29.5581,34.9482,293.15,45,0,2.47,IL,1612117579
216,East London,-33.0153,27.9116,296.15,88,0,1.54,ZA,1612117581
217,Lavrentiya,65.5833,-171.0,250.02,86,100,5.96,RU,1612117581
218,Pingxiang,27.6167,113.85,284.19,84,92,0.75,CN,1612117581
219,Toora-Khem,52.4675,96.11,243.98,84,34,0.81,RU,1612117581
220,Santa Rosa,14.3122,121.1114,297.15,78,75,5.3,PH,1612117583
221,Daoukro,7.0591,-3.9631,306.01,35,50,0.55,CI,1612117583
222,Ust-Kuyga,70.0167,135.6,234.24,80,98,1.88,RU,1612117294
223,Garoua,9.3,13.4,300.15,22,0,1.03,CM,1612117583
224,Henties Bay,-22.116,14.2845,292.04,83,83,4.81,NA,1612117583
225,Bo Rai,12.5728,102.5371,295.25,71,15,0.37,TH,1612117584
226,Ampanihy,-24.7,44.75,299.02,78,38,2.09,MG,1612117584
227,Constitución,-35.3333,-72.4167,291.65,72,24,3.79,CL,1612117584
228,Skjervøy,70.0311,20.9714,266.15,93,75,1.54,NO,1612117584
229,Amarillo,35.222,-101.8313,282.59,46,1,8.23,US,1612117322
230,Vestmannaeyjar,63.4427,-20.2734,274.15,75,40,10.29,IS,1612117307
231,Malakwal,32.5536,73.2123,286.19,39,37,2.38,PK,1612117585
232,Clarksburg,39.2807,-80.3445,276.15,93,90,2.57,US,1612117586
233,Bilibino,68.0546,166.4372,247.12,83,100,2.77,RU,1612117586
234,Lishui,28.4604,119.9103,285.83,85,33,0.72,CN,1612117586
235,Takoradze,4.8845,-1.7554,300.68,81,88,4.64,GH,1612117587
236,Yarkovo,57.4028,67.0786,259.98,95,67,1.54,RU,1612117587
237,Posse,-14.0931,-46.3694,303.42,41,27,0.68,BR,1612117587
238,Manggar,-2.8833,108.2667,299.28,85,98,4.88,ID,1612117587
239,Vanimo,-2.6741,141.3028,298.4,89,100,4.87,PG,1612117588
240,Ponta Delgada,37.7333,-25.6667,290.93,88,75,7.2,PT,1612117588
241,Kavieng,-2.5744,150.7967,301.54,81,98,4.9,PG,1612117588
242,Olafsvik,64.8945,-23.7142,271.09,95,100,4.63,IS,1612117588
243,Abalak,58.1286,68.5944,259.69,97,95,1.46,RU,1612117588
244,Yokadouma,3.5167,15.05,299.23,58,82,1.22,CM,1612117588
245,Kawalu,-7.3817,108.2082,295.66,87,99,1.22,ID,1612117589
246,Saint Lawrence,36.0553,14.204,287.04,76,40,5.14,MT,1612117589
247,Brae,60.3964,-1.353,273.15,80,40,4.12,GB,1612117589
248,Broome,42.2506,-75.833,268.15,71,100,1.34,US,1612117589
249,Xingyi,24.1877,102.817,280.61,95,39,1.71,CN,1612117589
250,Port Lincoln,-34.7333,135.8667,289.61,80,93,4.81,AU,1612117376
251,Severodvinsk,64.5635,39.8302,268.15,93,90,2.0,RU,1612117467
252,Mouzourás,35.5333,24.15,288.15,88,20,3.09,GR,1612117590
253,Salalah,17.0151,54.0924,296.15,64,0,1.54,OM,1612117386
254,Nome,64.5011,-165.4064,252.59,59,1,3.6,US,1612117294
255,Souillac,-20.5167,57.5167,300.15,78,40,5.66,MU,1612117590
256,Lagoa,39.05,-27.9833,289.76,89,100,12.46,PT,1612117591
257,Bereda,43.2686,-7.5406,285.93,90,97,5.81,ES,1612117591
258,Wellington,-41.2866,174.7756,287.15,82,39,5.66,NZ,1612117292
259,Aklavik,68.2191,-135.0107,248.15,77,90,4.63,CA,1612117591
260,Ondarroa,43.3167,-2.4167,285.37,69,80,2.35,ES,1612117591
261,Irun,43.339,-1.7894,285.37,94,20,0.51,ES,1612117591
262,Grindavik,63.8424,-22.4338,271.15,74,75,4.12,IS,1612117318
263,Praia,14.9215,-23.5087,299.15,50,0,8.23,CV,1612117592
264,Chui,-33.6971,-53.4616,293.76,85,100,7.59,UY,1612117592
265,Novobirilyussy,56.9514,90.6661,242.62,84,72,2.51,RU,1612117592
266,Kaeo,-35.1,173.7833,285.93,93,0,2.24,NZ,1612117593
267,Saint George,37.1041,-113.5841,282.04,75,1,1.93,US,1612117426
268,Syracuse,37.0881,15.2792,285.93,71,20,4.63,IT,1612117593
269,Kasangulu,-4.5911,15.1708,298.15,78,75,6.17,CD,1612117593
270,Blacklick Estates,39.9051,-82.8643,275.93,93,90,4.63,US,1612117392
271,Oeiras,-7.0253,-42.1311,305.23,47,100,2.08,BR,1612117593
272,Koslan,63.4564,48.8989,267.42,97,100,4.0,RU,1612117594
273,Chimoio,-19.1164,33.4833,298.15,94,20,3.09,MZ,1612117595
274,Tiksi,71.6872,128.8694,240.62,86,100,3.02,RU,1612117595
275,Tevriz,57.509,72.4042,257.83,95,90,1.85,RU,1612117595
276,Buraidah,26.326,43.975,290.15,48,0,2.06,SA,1612117526
277,Neuquén,-38.9516,-68.0591,293.15,60,75,3.6,AR,1612117374
278,Kenai,60.5544,-151.2583,257.04,70,1,1.54,US,1612117596
279,Chara,56.9064,118.2631,237.42,75,100,1.51,RU,1612117596
280,Chokurdakh,70.6333,147.9167,239.48,85,18,4.71,RU,1612117596
281,Nanchang,28.6833,115.8833,283.07,82,100,1.32,CN,1612117596
282,Alofi,-19.0595,-169.9187,297.15,100,100,3.09,NU,1612117597
283,Kondinskoye,59.6481,67.41,258.39,94,91,2.05,RU,1612117597
284,Oodweyne,9.4092,45.064,293.46,37,8,4.76,SO,1612117597
285,Melfi,40.9965,15.6514,279.82,93,90,7.72,IT,1612117597
286,Longyearbyen,78.2186,15.6401,253.15,45,20,7.72,SJ,1612117358
287,Camaná,-16.6228,-72.7111,297.34,61,37,4.83,PE,1612117598
288,Talnakh,69.4865,88.3972,240.0,73,2,4.22,RU,1612117310
289,Nizhnyaya Poyma,56.1622,97.1933,236.73,82,0,1.3,RU,1612117598
290,Mokshan,53.4365,44.6132,273.71,99,100,9.67,RU,1612117598
291,Morant Bay,17.8815,-76.4093,303.15,65,40,11.32,JM,1612117598
292,Vuktyl,63.8567,57.3094,266.21,95,100,5.33,RU,1612117599
293,Erdaojiang,41.7764,126.0319,271.76,98,92,2.37,CN,1612117599
294,Otukpo,7.1913,8.1329,304.48,15,14,1.85,NG,1612117599
295,Sirte,31.2089,16.5887,294.63,29,7,4.43,LY,1612117444
296,Sur,22.5667,59.5289,294.25,55,0,2.49,OM,1612117396
297,Mount Gambier,-37.8333,140.7667,284.15,100,66,2.06,AU,1612117599
298,Batagay-Alyta,67.8006,130.4114,237.02,82,100,0.87,RU,1612117600
299,Esperance,-33.8667,121.9,288.15,88,0,3.09,AU,1612117392
300,Arlit,18.7369,7.3853,294.81,17,27,2.89,NE,1612117600
301,Bristol,41.8334,-71.1662,269.26,54,1,1.54,US,1612117345
302,Bhātāpāra,21.7333,81.9333,291.15,32,0,1.03,IN,1612117600
303,Kattivākkam,13.2167,80.3167,298.15,78,20,2.06,IN,1612117600
304,Pangody,65.85,74.4859,251.83,91,100,4.4,RU,1612117600
305,Egvekinot,66.3167,-179.1667,247.79,86,100,7.67,RU,1612117601
306,Broken Hill,-31.95,141.4333,296.15,28,75,3.09,AU,1612117601
307,Vanavara,60.34,102.2797,234.78,82,60,2.06,RU,1612117601
308,Yar-Sale,66.8333,70.8333,251.64,91,100,3.23,RU,1612117601
309,Avera,33.194,-82.5271,287.15,96,90,2.57,US,1612117377
310,Westport,41.1415,-73.3579,269.26,45,1,1.83,US,1612117601
311,La Ronge,55.1001,-105.2842,264.15,79,48,2.06,CA,1612117601
312,Forsytheganj,52.6333,29.7333,266.37,97,46,4.39,BY,1612117602
313,Oeiras do Pará,-2.0031,-49.8544,305.18,54,36,2.36,BR,1612117602
314,Luau,-10.7073,22.2247,293.22,94,100,1.25,AO,1612117602
315,Hofn,64.2539,-15.2082,269.67,79,0,5.11,IS,1612117602
316,Dudinka,69.4058,86.1778,245.48,84,84,4.56,RU,1612117602
317,Bonavista,48.6499,-53.1147,273.15,93,100,3.09,CA,1612117602
318,Amahai,-3.3333,128.9167,299.17,77,100,1.79,ID,1612117603
319,Oussouye,12.485,-16.5469,308.15,74,0,2.06,SN,1612117603
320,Petropavl,54.8753,69.1628,258.24,93,76,1.89,KZ,1612117603
321,Vallenar,-28.5708,-70.7581,304.38,21,0,5.76,CL,1612117603
322,Kasama,-10.2129,31.1808,291.6,92,100,1.61,ZM,1612117604
323,Yeppoon,-23.1333,150.7333,296.15,83,40,2.06,AU,1612117604
324,Coimbra,40.2056,-8.4195,288.15,94,100,1.34,PT,1612117604
325,Pochutla,15.7432,-96.4661,305.37,40,1,3.18,MX,1612117604
326,Antalaha,-14.9003,50.2788,298.68,80,4,2.4,MG,1612117604
327,Payson,40.0444,-111.7321,275.37,69,40,2.57,US,1612117604
328,Bonito,-21.1211,-56.4819,301.83,75,100,3.85,BR,1612117605
329,Vila Franca do Campo,37.7167,-25.4333,290.93,88,75,7.2,PT,1612117605
330,Ranong,9.9658,98.6348,296.29,85,10,2.07,TH,1612117605
331,Antofagasta,-23.65,-70.4,296.48,60,20,7.72,CL,1612117367
332,Sobolevo,54.4299,31.8996,267.69,96,93,6.38,RU,1612117605
333,Meulaboh,4.1363,96.1285,297.89,87,79,2.15,ID,1612117605
334,Half Moon Bay,37.4636,-122.4286,288.15,54,1,3.6,US,1612117606
335,Vysokogornyy,50.1167,139.15,242.04,84,95,1.46,RU,1612117606
336,Kangaatsiaq,68.3065,-53.4641,258.17,94,97,4.26,GL,1612117316
337,Margate,51.3813,1.3862,277.04,97,100,0.89,GB,1612117606
338,Saint Paul Harbor,57.79,-152.4072,270.15,54,1,2.57,US,1612117606
339,Taoudenni,22.6783,-3.9836,298.68,16,0,3.57,ML,1612117607
340,Kununurra,-15.7667,128.7333,299.15,83,75,1.03,AU,1612117440
341,Acapulco de Juárez,16.8634,-99.8901,302.15,70,20,3.09,MX,1612117505
342,Haines Junction,60.7522,-137.5108,248.15,84,86,0.78,CA,1612117608
343,Bathsheba,13.2167,-59.5167,302.15,58,20,10.8,BB,1612117608
344,Ostrovnoy,68.0531,39.5131,262.68,94,94,2.92,RU,1612117608
345,Joensuu,62.6012,29.7632,266.15,93,90,0.51,FI,1612117608
346,Changzhou,31.7833,119.9667,283.15,95,100,1.44,CN,1612117608
347,Puerto Colombia,10.9878,-74.9547,304.15,58,0,7.2,CO,1612117609
348,Port Hedland,-20.3167,118.5667,298.15,88,75,8.75,AU,1612117432
349,Sulangan,11.1373,123.7228,299.52,77,84,8.62,PH,1612117609
350,Taguatinga,-12.3857,-46.5711,306.93,37,83,0.98,BR,1612117609
351,Muroto-misakicho,33.2833,134.15,284.0,59,12,1.52,JP,1612117609
352,Christchurch,-43.5333,172.6333,286.48,94,40,1.35,NZ,1612117609
353,Ishigaki,24.3448,124.1572,293.37,71,45,6.55,JP,1612117610
354,Svetlaya,46.5389,138.3297,255.62,81,42,2.29,RU,1612117610
355,Ust'-Omchug,61.15,149.6333,238.65,79,100,3.84,RU,1612117610
356,Marzuq,14.4,46.4667,290.64,60,0,0.11,YE,1612117610
